,STflg,tradeDate
711,*ST,2013-11-18
712,*ST,2013-11-19
713,*ST,2013-11-20
714,*ST,2013-11-21
715,*ST,2013-11-22
716,*ST,2013-11-25
717,*ST,2013-11-26
718,*ST,2013-11-27
719,*ST,2013-11-28
720,*ST,2013-11-29
721,*ST,2013-12-02
722,*ST,2013-12-03
723,*ST,2013-12-04
724,*ST,2013-12-05
725,*ST,2013-12-06
726,*ST,2013-12-09
727,*ST,2013-12-10
728,*ST,2013-12-11
729,*ST,2013-12-12
730,*ST,2013-12-13
731,*ST,2013-12-16
732,*ST,2013-12-17
733,*ST,2013-12-18
734,*ST,2013-12-19
735,*ST,2013-12-20
736,*ST,2013-12-23
737,*ST,2013-12-24
738,*ST,2013-12-25
739,*ST,2013-12-26
740,*ST,2013-12-27
741,*ST,2013-12-30
742,*ST,2013-12-31
743,*ST,2014-01-02
744,*ST,2014-01-03
745,*ST,2014-01-06
746,*ST,2014-01-07
747,*ST,2014-01-08
748,*ST,2014-01-09
749,*ST,2014-01-10
750,*ST,2014-01-13
751,*ST,2014-01-14
752,*ST,2014-01-15
753,*ST,2014-01-16
754,*ST,2014-01-17
755,*ST,2014-01-20
756,*ST,2014-01-21
757,*ST,2014-01-22
758,*ST,2014-01-23
759,*ST,2014-01-24
760,*ST,2014-01-27
761,*ST,2014-01-28
762,*ST,2014-01-29
763,*ST,2014-01-30
764,*ST,2014-02-07
765,*ST,2014-02-10
766,*ST,2014-02-11
767,*ST,2014-02-12
768,*ST,2014-02-13
769,*ST,2014-02-14
770,*ST,2014-02-17
771,*ST,2014-02-18
772,*ST,2014-02-19
773,*ST,2014-02-20
774,*ST,2014-02-21
775,*ST,2014-02-24
776,*ST,2014-02-25
777,*ST,2014-02-26
778,*ST,2014-02-27
779,*ST,2014-02-28
780,*ST,2014-03-03
781,*ST,2014-03-04
782,*ST,2014-03-05
783,*ST,2014-03-06
784,*ST,2014-03-07
785,*ST,2015-04-20
786,*ST,2015-04-21
787,*ST,2015-04-22
788,*ST,2015-04-23
789,*ST,2015-04-24
790,*ST,2015-04-27
791,*ST,2015-04-28
792,*ST,2015-04-29
793,*ST,2015-04-30
794,*ST,2015-05-04
795,*ST,2015-05-05
796,*ST,2015-05-06
797,*ST,2015-05-07
798,*ST,2015-05-08
799,*ST,2015-05-11
800,*ST,2015-05-12
801,*ST,2015-05-13
802,*ST,2015-05-14
803,*ST,2015-05-15
804,*ST,2015-05-18
805,*ST,2015-05-19
806,*ST,2015-05-20
807,*ST,2015-05-21
808,*ST,2015-05-22
809,*ST,2015-05-25
810,*ST,2015-05-26
811,*ST,2015-05-27
812,*ST,2015-05-28
813,*ST,2015-05-29
814,*ST,2015-06-01
815,*ST,2015-06-02
816,*ST,2015-06-03
817,*ST,2015-06-04
818,*ST,2015-06-05
819,*ST,2015-06-08
820,*ST,2015-06-09
821,*ST,2015-06-10
822,*ST,2015-06-11
823,*ST,2015-06-12
824,*ST,2015-06-15
825,*ST,2015-06-16
826,*ST,2015-06-17
827,*ST,2015-06-18
828,*ST,2015-06-19
829,*ST,2015-06-23
830,*ST,2015-06-24
831,*ST,2015-06-25
832,*ST,2015-06-26
833,*ST,2015-06-29
834,*ST,2015-06-30
835,*ST,2015-07-01
836,*ST,2015-07-02
837,*ST,2015-07-03
838,*ST,2015-07-06
839,*ST,2015-07-07
840,*ST,2015-07-08
841,*ST,2015-07-09
842,*ST,2015-07-10
843,*ST,2015-07-13
844,*ST,2015-07-14
845,*ST,2015-07-15
846,*ST,2015-07-16
847,*ST,2015-07-17
848,*ST,2015-07-20
849,*ST,2015-07-21
850,*ST,2015-07-22
851,*ST,2015-07-23
852,*ST,2015-07-24
853,*ST,2015-07-27
854,*ST,2015-07-28
855,*ST,2015-07-29
856,*ST,2015-07-30
857,*ST,2015-07-31
858,*ST,2015-08-03
859,*ST,2015-08-04
860,*ST,2015-08-05
861,*ST,2015-08-06
862,*ST,2015-08-07
863,*ST,2015-08-10
864,*ST,2015-08-11
865,*ST,2015-08-12
866,*ST,2015-08-13
867,*ST,2015-08-14
868,*ST,2015-08-17
869,*ST,2015-08-18
870,*ST,2015-08-19
871,*ST,2015-08-20
872,*ST,2015-08-21
873,*ST,2015-08-24
874,*ST,2015-08-25
875,*ST,2015-08-26
876,*ST,2015-08-27
877,*ST,2015-08-28
878,*ST,2015-08-31
879,*ST,2015-09-01
880,*ST,2015-09-02
881,*ST,2015-09-07
882,*ST,2015-09-08
883,*ST,2015-09-09
884,*ST,2015-09-10
885,*ST,2015-09-11
886,*ST,2015-09-14
887,*ST,2015-09-15
888,*ST,2015-09-16
889,*ST,2015-09-17
890,*ST,2015-09-18
891,*ST,2015-09-21
892,*ST,2015-09-22
893,*ST,2015-09-23
894,*ST,2015-09-24
895,*ST,2015-09-25
896,*ST,2015-09-28
897,*ST,2015-09-29
898,*ST,2015-09-30
899,*ST,2015-10-08
900,*ST,2015-10-09
901,*ST,2015-10-12
902,*ST,2015-10-13
903,*ST,2015-10-14
904,*ST,2015-10-15
905,*ST,2015-10-16
906,*ST,2015-10-19
907,*ST,2015-10-20
908,*ST,2015-10-21
909,*ST,2015-10-22
910,*ST,2015-10-23
911,*ST,2015-10-26
912,*ST,2015-10-27
913,*ST,2015-10-28
914,*ST,2015-10-29
915,*ST,2015-10-30
916,*ST,2015-11-02
917,*ST,2015-11-03
918,*ST,2015-11-04
919,*ST,2015-11-05
920,*ST,2015-11-06
921,*ST,2015-11-09
922,*ST,2015-11-10
923,*ST,2015-11-11
924,*ST,2015-11-12
925,*ST,2015-11-13
926,*ST,2015-11-16
927,*ST,2015-11-17
928,*ST,2015-11-18
929,*ST,2015-11-19
930,*ST,2015-11-20
931,*ST,2015-11-23
932,*ST,2015-11-24
933,*ST,2015-11-25
934,*ST,2015-11-26
935,*ST,2015-11-27
936,*ST,2015-11-30
937,*ST,2015-12-01
938,*ST,2015-12-02
939,*ST,2015-12-03
940,*ST,2015-12-04
941,*ST,2015-12-07
942,*ST,2015-12-08
943,*ST,2015-12-09
944,*ST,2015-12-10
945,*ST,2015-12-11
946,*ST,2015-12-14
947,*ST,2015-12-15
948,*ST,2015-12-16
949,*ST,2015-12-17
950,*ST,2015-12-18
951,*ST,2015-12-21
952,*ST,2015-12-22
953,*ST,2015-12-23
954,*ST,2015-12-24
955,*ST,2015-12-25
956,*ST,2015-12-28
957,*ST,2015-12-29
958,*ST,2015-12-30
959,*ST,2015-12-31
960,*ST,2016-01-04
961,*ST,2016-01-05
962,*ST,2016-01-06
963,*ST,2016-01-07
964,*ST,2016-01-08
965,*ST,2016-01-11
966,*ST,2016-01-12
967,*ST,2016-01-13
968,*ST,2016-01-14
969,*ST,2016-01-15
970,*ST,2016-01-18
971,*ST,2016-01-19
972,*ST,2016-01-20
973,*ST,2016-01-21
974,*ST,2016-01-22
975,*ST,2016-01-25
976,*ST,2016-01-26
977,*ST,2016-01-27
978,*ST,2016-01-28
979,*ST,2016-01-29
980,*ST,2016-02-01
981,*ST,2016-02-02
982,*ST,2016-02-03
983,*ST,2016-02-04
984,*ST,2016-02-05
985,*ST,2016-02-15
986,*ST,2016-02-16
987,*ST,2016-02-17
988,*ST,2016-02-18
989,*ST,2016-02-19
